Time,TargetLocked,VisionDriveActive,Distance,DistanceError,AngleError,Speed,Omega
14.260158,1,1,7.179160,2.820840,-3.346909,0.000000,0.167345
14.280375,1,1,7.181834,2.818166,-3.550652,0.000000,0.177533
14.300119,1,1,7.243394,2.756606,-3.416817,0.000000,0.170841
14.320468,1,1,7.195072,2.804928,-3.594383,0.000000,0.179719
14.340198,1,1,7.195072,2.804928,-3.594383,0.000000,0.179719
14.360184,1,1,7.192833,2.807167,-3.594795,0.000000,0.179740
14.380272,1,1,7.195072,2.804928,-3.594383,0.000000,0.179719
14.400074,1,1,7.195072,2.804928,-3.594383,0.000000,0.179719
14.420076,1,1,7.192833,2.807167,-3.594795,0.000000,0.179740
14.440146,1,1,7.192833,2.807167,-3.594795,0.000000,0.179740
14.460100,1,1,7.195072,2.804928,-3.594383,0.000000,0.179719
14.481117,1,1,7.195072,2.804928,-3.594383,0.000000,0.179719
14.500112,1,1,7.181834,2.818166,-3.550652,0.000000,0.177533
14.520072,1,1,7.192833,2.807167,-3.594795,0.000000,0.179740
14.540174,1,1,7.192833,2.807167,-3.594795,0.000000,0.179740
14.560164,1,1,7.195072,2.804928,-3.594383,0.000000,0.179719
14.580519,1,1,7.195072,2.804928,-3.594383,0.000000,0.179719
14.600179,1,1,7.192833,2.807167,-3.594795,0.000000,0.179740
14.620069,1,1,7.195072,2.804928,-3.594383,0.000000,0.179719
14.640150,1,1,7.195072,2.804928,-3.594383,0.000000,0.179719
14.660305,1,1,7.195072,2.804928,-3.416817,0.000000,0.170841
14.681169,1,1,7.195072,2.804928,-3.594383,0.000000,0.179719
14.700072,1,1,7.195072,2.804928,-3.594383,0.000000,0.179719
14.720112,1,1,7.243394,2.756606,-3.416817,0.000000,0.170841
14.740119,1,1,7.195072,2.804928,-3.594383,0.000000,0.179719
14.760162,1,1,7.195072,2.804928,-3.594383,0.000000,0.179719
14.780521,1,1,7.192833,2.807167,-3.594795,0.000000,0.179740
14.800148,1,1,7.195072,2.804928,-3.594383,0.000000,0.179719
14.820081,1,1,7.195072,2.804928,-3.594383,0.000000,0.179719
14.840078,1,1,7.195072,2.804928,-3.594383,0.000000,0.179719
14.860253,1,1,7.184513,2.815487,-3.550056,0.000000,0.177503
14.880635,1,1,7.192833,2.807167,-3.594795,0.000000,0.179740
14.900138,1,1,7.195072,2.804928,-3.594383,0.000000,0.179719
14.920087,1,1,7.195072,2.804928,-3.594383,0.000000,0.179719
14.940124,1,1,7.195072,2.804928,-3.594383,0.000000,0.179719
